iter	Passed	Remaining
604	18973	12387
605	18992	12348
606	19018	12313
607	19052	12283
608	19088	12255
609	19128	12229
610	19162	12199
611	19192	12167
612	19231	12141
613	19272	12116
614	19322	12096
615	19372	12076
616	19402	12044
617	19424	12006
618	19457	11976
619	19483	11941
620	19519	11912
621	19551	11882
622	19575	11845
623	19594	11806
624	19624	11774
625	19649	11739
626	19672	11703
627	19703	11671
628	19740	11643
629	19769	11610
630	19788	11572
631	19814	11537
632	19838	11502
633	19865	11468
634	19887	11431
635	19928	11405
636	19960	11374
637	19985	11339
638	20013	11306
639	20038	11271
640	20165	11293
641	20209	11269
642	20251	11243
643	20292	11217
644	20332	11190
645	20377	11166
646	20418	11140
647	20453	11110
648	20484	11078
649	20518	11048
650	20551	11017
651	20582	10985
652	20616	10955
653	20648	10923
654	20678	10891
655	20710	10860
656	20750	10833
657	20781	10801
658	20809	10768
659	20832	10732
660	20858	10697
661	20882	10662
662	20916	10631
663	20977	10614
664	21015	10586
665	21061	10562
666	21125	10547
667	21197	10535
668	21226	10502
669	21261	10471
670	21293	10440
671	21363	10427
672	21418	10407
673	21452	10376
674	21499	10351
675	21547	10327
676	21604	10307
677	21649	10282
678	21677	10248
679	21713	10218
680	21752	10189
681	21794	10162
682	21833	10133
683	21868	10102
684	21905	10073
685	21936	10040
686	21983	10015
687	22019	9985
688	22057	9956
689	22081	9920
690	22113	9888
691	22145	9856
692	22192	9831
693	22224	9799
694	22256	9767
695	22293	9737
696	22349	9715
697	22407	9694
698	22443	9664
699	22509	9646
700	22574	9628
701	22615	9600
702	22658	9572
703	22689	9539
704	22718	9506
705	22749	9473
706	22774	9438
707	22811	9407
708	22836	9372
709	22863	9338
710	22890	9304
711	22929	9274
712	22955	9240
713	23003	9214
714	23040	9183
715	23070	9150
716	23099	9117
717	23125	9082
718	23152	9048
719	23187	9017
720	23221	8985
721	23254	8954
722	23280	8919
723	23322	8890
724	23355	8858
725	23387	8826
726	23419	8794
727	23457	8764
728	23489	8731
729	23517	8698
730	23548	8665
731	23576	8631
732	23608	8599
733	23636	8565
734	23673	8535
735	23699	8500
736	23733	8469
737	23769	8438
738	23803	8406
739	23842	8377
740	23883	8348
741	23921	8317
742	23954	8285
743	23989	8254
744	24022	8222
745	24056	8190
746	24088	8158
747	24116	8124
748	24140	8089
749	24163	8054
750	24195	8022
751	24226	7989
752	24252	7955
753	24279	7921
754	24307	7887
755	24330	7852
756	24353	7817
757	24380	7783
758	24412	7751
759	24444	7719
760	24471	7685
761	24491	7649
762	24514	7614
763	24544	7581
764	24566	7546
765	24604	7516
766	24634	7483
767	24663	7450
768	24692	7417
769	24719	7383
770	24746	7350
771	24773	7316
772	24810	7285
773	24844	7254
774	24874	7221
775	24899	7187
776	24926	7153
777	24949	7119
778	24974	7085
779	25005	7052
780	25030	7018
781	25058	6985
782	25083	6951
783	25109	6917
784	25133	6883
785	25153	6848
786	25177	6814
787	25212	6782
788	25244	6751
789	25271	6717
790	25299	6684
791	25323	6650
792	25347	6616
793	25373	6583
794	25407	6551
795	25431	6517
796	25457	6484
797	25486	6451
798	25519	6419
799	25543	6385
800	25571	6352
801	25601	6320
802	25632	6288
803	25658	6255
804	25686	6222
805	25707	6187
806	25737	6155
807	25764	6122
808	25792	6089
809	25821	6056
810	25855	6025
811	25886	5993
812	25910	5959
813	25939	5927
814	25966	5894
815	25997	5862
816	26033	5831
817	26066	5799
818	26096	5767
819	26120	5733
820	26143	5699
821	26171	5667
822	26206	5636
823	26238	5604
824	26269	5572
825	26300	5540
826	26324	5506
827	26346	5472
828	26371	5439
829	26403	5407
830	26434	5376
831	26466	5344
832	26496	5311
833	26520	5278
834	26542	5244
835	26565	5211
836	26596	5179
837	26624	5147
838	26644	5112
839	26667	5079
840	26698	5047
841	26722	5014
842	26743	4980
843	26768	4947
844	26796	4915
845	26836	4885
846	26868	4853
847	26899	4821
848	26929	4789
849	26961	4757
850	26987	4725
851	27028	4695
852	27061	4663
853	27095	4632
854	27126	4600
855	27152	4567
856	27182	4535
857	27211	4503
858	27265	4475
859	27294	4443
860	27321	4410
861	27356	4379
862	27392	4348
863	27437	4318
864	27475	4288
865	27499	4255
866	27528	4222
867	27561	4191
868	27591	4159
869	27625	4127
870	27663	4097
871	27700	4066
872	27727	4033
873	27757	4001
874	27786	3969
875	27820	3938
876	27847	3905
877	27875	3873
878	27905	3841
879	27927	3808
880	27953	3775
881	27976	3742
882	27997	3709
883	28034	3678
884	28067	3647
885	28093	3614
886	28120	3582
887	28146	3550
888	28172	3517
889	28190	3484
890	28215	3451
